image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,clear primary
test_4,partly_cloudy primary
test_5,clear primary
test_6,clear primary agriculture
test_7,road clear habitation primary
test_8,clear primary
test_9,haze primary agriculture
test_10,partly_cloudy primary agriculture
test_11,clear cultivation primary agriculture
test_12,cloudy
test_13,clear cultivation primary agriculture
test_14,clear primary
test_15,clear primary
test_16,road clear habitation primary agriculture
test_17,partly_cloudy primary
test_18,clear primary
test_19,road clear primary
test_20,road water clear primary agriculture
test_21,water clear primary
test_22,road clear habitation primary agriculture
test_23,cloudy
test_24,partly_cloudy road primary agriculture
test_25,clear primary
test_26,partly_cloudy road primary agriculture
test_27,clear primary agriculture
test_28,partly_cloudy primary agriculture
test_29,clear primary
test_30,partly_cloudy primary
test_31,cloudy
test_32,clear primary
test_33,road clear primary agriculture
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,road water clear primary
test_41,partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,clear cultivation primary
test_45,road haze primary agriculture
test_46,water haze primary
test_47,clear primary
test_48,clear primary
test_49,road water primary agriculture
test_50,clear primary
test_51,water clear primary
test_52,road clear primary agriculture
test_53,road clear primary agriculture
test_54,clear primary
test_55,partly_cloudy primary
test_56,clear primary
test_57,water clear primary
test_58,clear primary
test_59,road clear primary agriculture
test_60,clear primary
test_61,cloudy
test_62,road clear primary agriculture
test_63,clear primary
test_64,clear primary
test_65,clear primary
test_66,clear primary
test_67,road clear habitation primary agriculture
test_68,cloudy
test_69,clear cultivation primary agriculture
test_70,clear primary
test_71,partly_cloudy primary agriculture
test_72,clear primary
test_73,partly_cloudy road water primary agriculture
test_74,road clear primary
test_75,partly_cloudy road primary agriculture
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear cultivation primary agriculture
test_80,haze primary
test_81,cloudy
test_82,clear cultivation primary agriculture
test_83,clear primary
test_84,road clear primary agriculture
test_85,road clear primary agriculture
test_86,clear primary
test_87,partly_cloudy primary
test_88,clear cultivation primary agriculture
test_89,cloudy
test_90,cloudy
test_91,clear cultivation primary agriculture
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,partly_cloudy road primary agriculture
test_96,primary
test_97,clear primary
test_98,partly_cloudy primary
test_99,
test_100,road water clear primary
test_101,road clear habitation primary agriculture
test_102,clear primary
test_103,water clear primary
test_104,partly_cloudy primary
test_105,clear primary
test_106,haze primary
test_107,clear primary
test_108,partly_cloudy road primary agriculture
test_109,partly_cloudy primary agriculture
test_110,partly_cloudy primary
test_111,clear primary
test_112,partly_cloudy cultivation primary agriculture
test_113,clear primary
test_114,water primary agriculture
test_115,clear primary agriculture
test_116,partly_cloudy road primary agriculture
test_117,partly_cloudy water primary
test_118,road clear habitation
test_119,clear primary
test_120,road water clear primary agriculture
test_121,clear primary
test_122,clear primary
test_123,partly_cloudy primary
test_124,clear primary
test_125,partly_cloudy primary
test_126,clear cultivation primary agriculture
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,water clear primary
test_133,clear cultivation primary agriculture
test_134,road clear primary agriculture
test_135,road clear habitation primary agriculture
test_136,clear primary
test_137,clear cultivation primary agriculture
test_138,partly_cloudy road primary agriculture
test_139,clear primary
test_140,clear primary agriculture
test_141,clear primary
test_142,clear primary
test_143,road clear habitation primary agriculture
test_144,clear haze primary agriculture
test_145,clear primary agriculture
test_146,road clear primary agriculture
test_147,clear cultivation primary agriculture
test_148,partly_cloudy primary
test_149,partly_cloudy primary
test_150,road clear habitation cultivation primary agriculture
test_151,water clear primary
test_152,road water clear primary agriculture
test_153,clear primary
test_154,clear primary
test_155,road clear primary agriculture
test_156,partly_cloudy primary
test_157,water clear primary
test_158,clear primary
test_159,partly_cloudy primary agriculture
test_160,clear primary agriculture
test_161,clear primary
test_162,water clear
test_163,partly_cloudy primary
test_164,haze primary
test_165,water haze primary
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,partly_cloudy road primary agriculture
test_171,
test_172,cloudy
test_173,clear primary
test_174,road water clear primary
test_175,clear primary
test_176,partly_cloudy primary
test_177,partly_cloudy primary
test_178,haze primary
test_179,road water clear habitation primary agriculture
test_180,partly_cloudy primary
test_181,clear primary agriculture
test_182,partly_cloudy primary
test_183,haze primary
test_184,clear primary
test_185,road habitation primary agriculture
test_186,road clear habitation primary agriculture
test_187,partly_cloudy primary agriculture
test_188,clear primary
test_189,road clear primary agriculture
test_190,partly_cloudy road primary agriculture
test_191,clear primary
test_192,clear primary
test_193,clear primary
test_194,road clear habitation primary agriculture
test_195,road water clear primary agriculture
test_196,clear primary
test_197,clear primary
test_198,partly_cloudy road primary agriculture
test_199,road clear habitation primary agriculture
test_200,clear primary
test_201,haze primary
test_202,water clear primary
test_203,water clear artisinal_mine primary
test_204,clear cultivation primary agriculture
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,haze primary
test_209,clear primary
test_210,clear primary
test_211,road clear primary agriculture
test_212,partly_cloudy road habitation primary agriculture
test_213,clear cultivation primary agriculture
test_214,partly_cloudy primary
test_215,road water clear primary
test_216,clear primary
test_217,clear primary
test_218,road clear primary agriculture
test_219,clear primary
test_220,cloudy
test_221,partly_cloudy road primary agriculture
test_222,cloudy
test_223,clear primary
test_224,road water clear primary
test_225,clear primary
test_226,clear primary
test_227,water clear primary
test_228,road clear primary agriculture
test_229,road clear habitation primary agriculture
test_230,partly_cloudy road primary agriculture
test_231,partly_cloudy primary
test_232,haze primary
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,partly_cloudy road conventional_mine primary agriculture
test_239,clear cultivation primary agriculture
test_240,road clear primary agriculture
test_241,partly_cloudy road habitation primary agriculture
test_242,clear cultivation primary agriculture
test_243,road water clear habitation primary
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,road clear habitation primary agriculture
test_249,road water clear primary
test_250,road clear habitation primary
test_251,road clear habitation
test_252,road water clear primary
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,road water clear primary agriculture
test_258,clear primary
test_259,water clear primary
test_260,clear primary
test_261,road clear selective_logging primary
test_262,road clear cultivation primary agriculture
test_263,road clear primary agriculture
test_264,haze primary
test_265,partly_cloudy road primary agriculture
test_266,partly_cloudy primary agriculture
test_267,clear primary
test_268,road clear primary agriculture
test_269,road clear primary agriculture
test_270,water clear primary
test_271,clear primary
test_272,road clear primary agriculture
test_273,haze primary
test_274,road clear primary agriculture
test_275,haze primary
test_276,road clear agriculture
test_277,haze primary agriculture
test_278,clear primary
test_279,partly_cloudy primary
test_280,clear primary
test_281,road clear agriculture
test_282,road clear primary agriculture
test_283,clear primary
test_284,clear primary
test_285,clear primary agriculture
test_286,partly_cloudy road water primary
test_287,clear primary agriculture
test_288,road water clear habitation artisinal_mine primary
test_289,water clear primary
test_290,clear primary
test_291,road clear primary agriculture
test_292,clear primary
test_293,road clear habitation primary agriculture
test_294,clear primary
test_295,road clear primary agriculture
test_296,partly_cloudy primary
test_297,clear cultivation primary agriculture
test_298,partly_cloudy road primary agriculture
test_299,clear primary
test_300,cloudy
test_301,clear primary
test_302,clear primary
test_303,partly_cloudy primary
test_304,road clear primary agriculture
test_305,road clear primary agriculture
test_306,water clear primary
test_307,clear primary
test_308,partly_cloudy primary
test_309,clear primary
test_310,clear haze primary
test_311,clear primary
test_312,clear primary
test_313,road clear habitation primary agriculture
test_314,cloudy
test_315,clear primary
test_316,cloudy
test_317,clear primary
test_318,partly_cloudy primary
test_319,partly_cloudy road primary agriculture
test_320,clear primary
test_321,clear primary
test_322,clear primary
test_323,clear primary
test_324,clear primary
test_325,clear primary agriculture
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,road clear habitation primary agriculture
test_330,clear primary
test_331,haze primary
test_332,clear primary
test_333,partly_cloudy road primary agriculture
test_334,cloudy
test_335,partly_cloudy primary
test_336,clear primary
test_337,road clear primary agriculture
test_338,road clear primary agriculture
test_339,partly_cloudy primary
test_340,road clear primary
test_341,road water clear primary
test_342,cloudy
test_343,road clear primary agriculture
test_344,road water clear primary
test_345,partly_cloudy water primary
test_346,clear primary
test_347,water clear primary
test_348,road clear primary agriculture
test_349,road clear primary agriculture
test_350,road water clear primary agriculture
test_351,clear primary
test_352,water clear primary
test_353,water
test_354,clear primary
test_355,clear primary
test_356,road clear primary agriculture
test_357,clear primary
test_358,haze primary
test_359,road water clear selective_logging primary
test_360,clear cultivation primary agriculture
test_361,cloudy
test_362,road clear primary agriculture
test_363,partly_cloudy road primary agriculture
test_364,clear primary agriculture
test_365,clear primary
test_366,road clear habitation primary agriculture
test_367,clear primary
test_368,clear primary
test_369,road clear primary agriculture
test_370,clear primary
test_371,clear primary
test_372,road clear primary agriculture
test_373,cloudy
test_374,road water primary agriculture
test_375,partly_cloudy primary
test_376,clear primary
test_377,partly_cloudy primary
test_378,partly_cloudy primary
test_379,haze primary
test_380,road clear cultivation primary agriculture
test_381,clear primary
test_382,partly_cloudy road primary agriculture
test_383,road clear habitation primary
test_384,clear primary
test_385,partly_cloudy primary agriculture
test_386,clear primary
test_387,clear primary
test_388,road clear agriculture
test_389,road primary agriculture
test_390,road clear habitation primary agriculture
test_391,clear primary
test_392,partly_cloudy primary
test_393,clear primary agriculture
test_394,clear primary
test_395,road clear habitation cultivation primary agriculture
test_396,clear primary
test_397,clear primary
test_398,road clear primary agriculture
test_399,road clear primary agriculture
test_400,clear primary
test_401,clear primary
test_402,cloudy
test_403,clear primary
test_404,clear primary agriculture
test_405,water clear primary
test_406,haze primary
test_407,clear primary
test_408,water clear primary
test_409,clear primary
test_410,cloudy
test_411,road clear habitation primary agriculture
test_412,clear cultivation primary agriculture
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,road clear habitation primary agriculture
test_417,road water clear primary
test_418,clear primary
test_419,partly_cloudy primary
test_420,clear primary agriculture
test_421,clear primary
test_422,clear primary
test_423,clear primary
test_424,road water clear primary
test_425,clear primary
test_426,road clear primary agriculture
test_427,road clear selective_logging primary
test_428,clear cultivation primary agriculture
test_429,partly_cloudy primary
test_430,road clear habitation primary agriculture
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,clear primary agriculture
test_435,road water clear primary agriculture
test_436,
test_437,clear primary
test_438,road water clear primary
test_439,road clear primary agriculture
test_440,partly_cloudy primary
test_441,clear primary
test_442,clear primary agriculture
test_443,partly_cloudy road primary agriculture
test_444,partly_cloudy road primary agriculture
test_445,clear primary
test_446,partly_cloudy primary
test_447,water clear primary
test_448,road clear cultivation primary agriculture
test_449,water haze primary
test_450,partly_cloudy primary
test_451,partly_cloudy road primary agriculture
test_452,haze primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,partly_cloudy primary agriculture
test_458,road water clear primary agriculture
test_459,clear primary
test_460,clear primary
test_461,road clear primary agriculture
test_462,clear primary
test_463,clear primary
test_464,clear primary
test_465,road clear primary agriculture
test_466,clear cultivation primary agriculture
test_467,haze primary
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,partly_cloudy primary
test_473,road water clear habitation primary agriculture
test_474,partly_cloudy clear primary
test_475,clear primary
test_476,cloudy
test_477,road clear habitation primary agriculture
test_478,road clear habitation primary agriculture
test_479,cloudy haze primary
test_480,clear primary
test_481,clear primary
